label,group,condition,item_num,type,list,message_html,maze_s,maze_a,question
Group_1_Condition_1_S01,1,1,1,practice,,医生说，小菲得多吃点水果。爸爸说，记住了，____________________。<br>  <br>点击下方链接开始造句。,"前阵子, 小菲 很 爱吃 香蕉, 我们 给她 多买点。","x-x-x 世纪 个 定局 烟火, x-x-x 菱形 消防栓。",医生建议小菲多吃水果。
Group_1_Condition_4_S02,1,4,2,practice,,小美说，我打算送只小猫给张华。琪琪说，好主意，____________________。<br>  <br>点击下方链接开始造句。,"张华啊, 小猫 很 喜欢 来着, 不过 他 买不起。","x-x-x 是吗 蜘 乘法 与其, x-x-x 着 逆命题。",小美打算送衬衫给张华。
Group_1_Condition_3_S03,1,3,3,practice,,妈妈说，我打算送小刚学外语。爸爸说，好主意，____________________。<br>  <br>点击下方链接开始造句。,"外语嘛, 小刚 很 想学 法语 但是 没人 教。","x-x-x 蒙蒙 条 完事 咩咩, x-x-x 比喻 七。",爸爸很支持妈妈。
Group_1_Condition_2_S04,1,2,4,practice,,小高说，大卫马上去上海出差。小华说，真的呀，____________________。<br>  <br>点击下方链接开始造句。,"上海呢, 大卫 没 来过 倒是, 一直 没 机会。","x-x-x 不了 件 没错 耳蜗, x-x-x 炖 拟人。",大卫准备中国出差。
Group_1_Condition_1_S05,1,1,5,practice,,芬芬妈说，今天超市海鲜很便宜。爸爸说，太好啦，____________________。<br>  <br>点击下方链接开始造句。,"前阵子, 芬芬 很 爱吃 大虾, 可以 多买点。","x-x-x 之时 块 得令 咕叽, x-x-x 双曲线。",今天超市蔬菜很便宜。
Group_1_Condition_4_S06,1,4,6,practice,,老师说，李洁很有芭蕾天赋。妈妈说，真的嘛，____________________。<br>  <br>点击下方链接开始造句。,"李洁呀, 芭蕾 很 喜欢 来着, 应该 着重 培养。","x-x-x 对的 根 成败 憎恨, x-x-x 啤酒 奶油。",李洁没有舞蹈天赋。
Group_1_Condition_3_S07,1,3,7,practice,,导师说，你和小李多上点选修课吧。小彭说，可以的，____________________。<br>  <br>点击下方链接开始造句。,"选修课, 小李 很 想学 编程, 我们 一起选。","x-x-x 极了 颗 法令 哼唧, x-x-x 含羞草。",导师让学生多上些课。
Group_1_Condition_2_S08,1,2,8,practice,,医生说，王华是不是很爱喝可乐？妈妈说，确实是，____________________。<br>  <br>点击下方链接开始造句。,"可乐啊, 王华 很 爱喝 来着, 难怪 长胖 十斤。","x-x-x 而且 粒 作罢 呕吐, x-x-x 师傅 法师。",王华很爱喝汽水。
Group_1_Condition_5_S09,1,5,9,practice,,小李说，公司要进行薪酬改革了。小王说，____________________。<br>  <br>点击下方链接开始造句。,"我 怀疑 经理  能 挣到 三十万, 公司 会降薪。","x-x-x 然而 茫茫 哈 表面 回不到, x-x-x 每一页。",经理一定能挣到三十万。
Group_1_Condition_5_S10,1,5,10,practice,,总监说，我们需要关注一下公司人事变动。张总说，____________________。<br>  <br>点击下方链接开始造句。,"我 不信 小汪 会 离职, 小汪 很忠诚。","x-x-x 依依 对焦 呢 红豆, x-x-x 调色板。",小汪一定会离职。
Group_1_Condition_5_S11,1,5,11,practice,,组长说，马上要开员工考核会了。张强说，____________________。<br>  <br>点击下方链接开始造句。,"小陈  不会 通过 试用期, 小陈 绩效差。","x-x-x 乃至 芳菲 转圈圈, x-x-x 半导体。",小陈肯定会通过试用期。
Group_1_Condition_5_S12,1,5,12,practice,,王秘书说，请大家提交一下年终总结。小李说，____________________。<br>  <br>点击下方链接开始造句。,"公司 年底 不发 年终奖, 今年 效益差。","x-x-x 之际 即或 好无聊, x-x-x 西红柿。",公司年底发不上年终奖。
Group_1_Condition_5_S13,1,5,13,practice,,学习委员说，离交卷还有半小时。老师说，____________________。<br>  <br>点击下方链接开始造句。,"我 不信 大家 能写完, 题目 量太大。","x-x-x 清脆 之类 新干线, x-x-x 会刹车。",大家今天肯定能写完这些题。
Group_1_Condition_5_S14,1,5,14,practice,,王老师说，附加题是拉开分数的关键。刘老师说，____________________。<br>  <br>点击下方链接开始造句。,"小明 能 答对 附加题, 题目 不算难。","x-x-x 哇 念头 听老歌, x-x-x 看星星。",小明答不上附加题。
Group_1_Condition_5_S15,1,5,15,practice,,同事说，方案进展还不错吧。领导说，____________________。<br>  <br>点击下方链接开始造句。,"方案 会 提交 董事会, 方案 很重要。","x-x-x 呗 蓝色 说说笑, x-x-x 圆舞曲。",方案进展不太好。
Group_1_Condition_5_S16,1,5,16,practice,,同学说，考研初试成绩快出了。小晴说，____________________。<br>  <br>点击下方链接开始造句。,"我 相信 自己 会 通过, 题目 都会做。","x-x-x 较少 的话 嘛 闪耀, x-x-x 领头羊。",小晴题目都会做。
Group_1_Condition_1_S01,1,1,1,experiment,1,峰峰和磊磊想给小陈带一杯饮料。峰峰：小陈是还喝咖啡还是奶茶？磊磊：____________________。<br>  <br>点击下方链接开始造句。,"小陈 说 她 想喝 咖啡 来着 ,我们 买一杯。",x-x-x 个 三 定局 看清 烟火 x-x-x 消防栓。,小陈想喝咖啡。
Group_1_Condition_4_S02,1,4,2,experiment,1,琳琳和彤彤想送只宠物给张华。琳琳：张华昨天说了什么？彤彤：____________________。<br>  <br>点击下方链接开始造句。,"张华 说 他 喜欢 小猫 来着 ,我们 等会 去看。",x-x-x 汁 岁 根号 透明 与其 x-x-x 菱形 拟人。,张华喜欢小猫。
Group_1_Condition_3_S03,1,3,3,experiment,1,芬芬爸爸和妈妈在讨论今晚的晚餐。爸爸：芬芬今晚想吃牛肉吗？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"芬芬 说 她 想吃 大虾 来着 ,今天 大虾 新鲜。",x-x-x 条 位 完事 勇气 咩咩 x-x-x 比喻 键盘。,芬芬想吃大虾。
Group_1_Condition_2_S04,1,2,4,experiment,1,老师和学长在讨论小明的社团。老师：小明会喜欢网球社吗？学长：____________________。<br>  <br>点击下方链接开始造句。,"小明 说 他 喜欢 网球 来着 ,等会 他 会报名。",x-x-x 件 首 名词 抠门 耳蜗 x-x-x 了 逆命题。,小明喜欢足球。
Group_2_Condition_1_S01,2,1,1,experiment,1,两位秘书在讨论老板的行程。秘书A：老板是想坐高铁还是飞机？秘书B：____________________。<br>  <br>点击下方链接开始造句。,"老板 说 他 想坐 高铁 来着 ,我们 帮他 订票。",x-x-x 块 串 得令 空气 咕叽 x-x-x 啤酒 奶油。,老板想坐高铁。
